partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
side,left | na,0,0-100,50.0,551,266,1236.0,1236.0,0.4827586206896552,0.44129794658028176,0.5244580457605955
side,left | na,2,200-300,250.0,127,34,52.0,52.0,0.2677165354330709,0.19836232021253514,0.3507107574630665
side,left | na,4,400-500,450.0,128,15,25.0,25.0,0.1171875,0.07231618236850768,0.18436759574098127
side,left | na,9,900-1000,950.0,128,3,7.0,7.0,0.0234375,0.008002271440112167,0.06664488090027204
side,left | na,16,1600-1700,1650.0,113,1,2.0,2.0,0.008849557522123894,0.0015638358136017966,0.04843205606052523
side,left | right,0,0-100,50.0,1473771,756720,5973125.0,5973125.0,0.5134583324003525,0.5126513352432099,0.5142652593954483
side,left | right,1,100-200,150.0,598726,186563,591502.0,591502.0,0.31159996392339734,0.31042800533181353,0.3127743401582263
side,left | right,2,200-300,250.0,397966,97525,265664.0,265664.0,0.24505862309845564,0.24372472445261742,0.24639744363882524
side,left | right,3,300-400,350.0,367338,75684,187839.0,187839.0,0.20603368015288373,0.2047288011533825,0.20734470765433294
side,left | right,4,400-500,450.0,363071,61902,143729.0,143729.0,0.17049557799989534,0.16927578497985055,0.17172234382026955
side,left | right,5,500-600,550.0,345884,49007,107576.0,107576.0,0.14168623006557113,0.14052801780738397,0.14285240154066634
side,left | right,6,600-700,650.0,350361,42206,88973.0,88973.0,0.12046432108596562,0.11939064079079852,0.12154632427253619
side,left | right,7,700-800,750.0,341913,34562,70300.0,70300.0,0.10108419393237461,0.10007825757606355,0.10209909431019117
side,left | right,8,800-900,850.0,336649,28651,57249.0,57249.0,0.08510644617984904,0.08416856001416377,0.08605380118036594
side,left | right,9,900-1000,950.0,333085,24055,46824.0,46824.0,0.07221880300824114,0.07134465187009145,0.07310282156937906
side,left | right,10,1000-1100,1050.0,322496,20162,38478.0,38478.0,0.06251860488192101,0.06168824056768779,0.06335939170376939
side,left | right,11,1100-1200,1150.0,322895,17751,33706.0,33706.0,0.05497452732312361,0.0541936180063008,0.05576602577583408
side,left | right,12,1200-1300,1250.0,313326,14936,28170.0,28170.0,0.047669200768528625,0.046928675801576857,0.0484208173952435
side,left | right,13,1300-1400,1350.0,307981,12778,24076.0,24076.0,0.04148957240868755,0.040790965730426273,0.042199617400922235
side,left | right,14,1400-1500,1450.0,306584,11291,20876.0,20876.0,0.036828405918117056,0.036167497411728776,0.03750092166885357
side,left | right,15,1500-1600,1550.0,298344,9732,17798.0,17798.0,0.03262006274635991,0.031988617951332246,0.03326354373884974
side,left | right,16,1600-1700,1650.0,298130,8625,15979.0,15979.0,0.028930332405326536,0.02833471008717285,0.029538094648456997
side,left | right,17,1700-1800,1750.0,293210,7450,13636.0,13636.0,0.025408410354353535,0.024845002329260964,0.02598425429339092
side,left | right,18,1800-1900,1850.0,290229,6757,12046.0,12046.0,0.023281615551857326,0.02273926621151353,0.02383658483786681
