partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
flow,afferent | efferent,16,1600-1700,1650.0,13745,595,1417.0,1417.0,0.043288468534012366,0.04001195840287605,0.046820200606069104
flow,afferent | efferent,17,1700-1800,1750.0,13872,541,1140.0,1140.0,0.03899942329873126,0.03590332898194481,0.04235077850224555
flow,afferent | efferent,18,1800-1900,1850.0,13533,458,916.0,916.0,0.03384319810832779,0.030926427449103292,0.037024548648600324
flow,afferent | efferent,19,1900-2000,1950.0,13645,432,932.0,932.0,0.0316599486991572,0.028851315812665437,0.034732219364415076
flow,afferent | intrinsic,0,0-100,50.0,329663,210525,1722144.0,1722144.0,0.6386066983555935,0.6369651527151148,0.6402450136348394
flow,afferent | intrinsic,1,100-200,150.0,130737,53597,189591.0,189591.0,0.40996045495919287,0.4072970880666934,0.412629113173241
flow,afferent | intrinsic,2,200-300,250.0,95117,28991,85705.0,85705.0,0.30479304435589855,0.3018755676289002,0.3077262885430705
flow,afferent | intrinsic,3,300-400,350.0,91863,22551,60430.0,60430.0,0.24548512458770125,0.24271268343463775,0.24827885186159687
flow,afferent | intrinsic,4,400-500,450.0,94692,18506,46904.0,46904.0,0.19543361635618636,0.19292030319408726,0.19797164068193612
flow,afferent | intrinsic,5,500-600,550.0,93936,14792,35479.0,35479.0,0.1574689150059615,0.1551536012681274,0.1598122438520543
flow,afferent | intrinsic,6,600-700,650.0,99422,12788,29150.0,29150.0,0.12862344350344995,0.12655675589458584,0.13071882949004923
flow,afferent | intrinsic,7,700-800,750.0,99266,10248,22450.0,22450.0,0.10323776519654262,0.10136025429411681,0.10514598435389573
flow,afferent | intrinsic,8,800-900,850.0,100471,8734,18819.0,18819.0,0.08693055707617123,0.08520420920818722,0.08868849190755157
flow,afferent | intrinsic,9,900-1000,950.0,102746,7463,15708.0,15708.0,0.07263543106300975,0.07106437247086744,0.07423844617600822
flow,afferent | intrinsic,10,1000-1100,1050.0,101441,6297,13064.0,13064.0,0.062075492158003176,0.06060712459704249,0.06357702711836619
flow,afferent | intrinsic,11,1100-1200,1150.0,103652,5612,11457.0,11457.0,0.05414270829313472,0.05278147339454963,0.0555369911192728
flow,afferent | intrinsic,12,1200-1300,1250.0,103790,4817,9641.0,9641.0,0.04641102225647943,0.04514784328708565,0.04770777754196361
flow,afferent | intrinsic,13,1300-1400,1350.0,103347,4247,8262.0,8262.0,0.04109456491238256,0.03990124114438326,0.04232200414750607
flow,afferent | intrinsic,14,1400-1500,1450.0,104204,3768,7159.0,7159.0,0.03615984031323174,0.03504331043355535,0.03731056893131579
flow,afferent | intrinsic,15,1500-1600,1550.0,103387,3195,6006.0,6006.0,0.03090330505769584,0.02986571573378243,0.031975753984943595
flow,afferent | intrinsic,16,1600-1700,1650.0,104256,2952,5608.0,5608.0,0.028314917127071824,0.027325289657915773,0.029339304392263565
flow,afferent | intrinsic,17,1700-1800,1750.0,103525,2668,5172.0,5172.0,0.0257715527650326,0.024823769855348305,0.02675452965495936
flow,afferent | intrinsic,18,1800-1900,1850.0,103010,2448,4667.0,4667.0,0.023764683040481505,0.022852126394884285,0.02471275929325415
flow,afferent | intrinsic,19,1900-2000,1950.0,103031,2166,4103.0,4103.0,0.021022798963418778,0.02016449256642068,0.02191682218759744
flow,efferent | efferent,0,0-100,50.0,71537,24683,253018.0,253018.0,0.34503823196387884,0.3415630045101969,0.3485301016911145
flow,efferent | efferent,1,100-200,150.0,17753,3156,14355.0,14355.0,0.17777277079930154,0.17221861486212742,0.18346635109488152
flow,efferent | efferent,2,200-300,250.0,10182,1576,6450.0,6450.0,0.15478295030445885,0.14788763873046598,0.16193865976606672
flow,efferent | efferent,3,300-400,350.0,8775,1203,4762.0,4762.0,0.13709401709401708,0.13005611031023956,0.14444953745084999
flow,efferent | efferent,4,400-500,450.0,8450,1079,3444.0,3444.0,0.1276923076923077,0.12074495029673801,0.13497803367779018
flow,efferent | efferent,5,500-600,550.0,7808,825,2453.0,2453.0,0.10566086065573771,0.099035115799782,0.11267445086629074
flow,efferent | efferent,6,600-700,650.0,7576,710,1980.0,1980.0,0.09371700105596621,0.08735872634296517,0.10048709882572963
flow,efferent | efferent,7,700-800,750.0,7307,630,1896.0,1896.0,0.08621869440262762,0.07999825449575712,0.0928739904725924
flow,efferent | efferent,8,800-900,850.0,7032,498,1489.0,1489.0,0.07081911262798635,0.06505477622981426,0.07705211827446226
flow,efferent | efferent,9,900-1000,950.0,6933,477,1298.0,1298.0,0.06880138468195586,0.06307884440297616,0.07500151770302894
flow,efferent | efferent,10,1000-1100,1050.0,6483,420,1029.0,1029.0,0.06478482184173993,0.05904695090145832,0.071038174038235
flow,efferent | efferent,11,1100-1200,1150.0,6541,379,829.0,829.0,0.0579422106711512,0.052535395816188775,0.06386797137913036
flow,efferent | efferent,12,1200-1300,1250.0,6111,353,965.0,965.0,0.057764686630666015,0.05218836527053028,0.06389666954051047
flow,efferent | efferent,13,1300-1400,1350.0,6018,285,721.0,721.0,0.04735792622133599,0.04227413227688036,0.053019241099131406
flow,efferent | efferent,14,1400-1500,1450.0,5918,256,622.0,622.0,0.04325785738425143,0.03836416373492953,0.048744143923958205
flow,efferent | efferent,15,1500-1600,1550.0,5749,217,544.0,544.0,0.03774569490346147,0.03311985646370913,0.04298889646979767
flow,efferent | efferent,16,1600-1700,1650.0,5553,186,429.0,429.0,0.03349540788762831,0.029076112812957362,0.03855971830376909
flow,efferent | efferent,17,1700-1800,1750.0,5512,186,442.0,442.0,0.03374455732946299,0.029292852000596843,0.03884572543788508
flow,efferent | efferent,18,1800-1900,1850.0,5411,169,327.0,327.0,0.0312326741822214,0.02692016162139154,0.036210327735859464
flow,efferent | efferent,19,1900-2000,1950.0,5239,152,333.0,333.0,0.02901317045237641,0.02480183159282883,0.03391472394834944
flow,efferent | intrinsic,0,0-100,50.0,547856,196957,1903721.0,1903721.0,0.3595050524225344,0.3582353703695675,0.36077670478012897
flow,efferent | intrinsic,1,100-200,150.0,180784,33469,114911.0,114911.0,0.18513253385255332,0.1833487862545203,0.1869296628245465
flow,efferent | intrinsic,2,200-300,250.0,110343,16066,47973.0,47973.0,0.14560053650888594,0.143531761240058,0.14769398780757043
flow,efferent | intrinsic,3,300-400,350.0,97279,11930,33108.0,33108.0,0.12263695144892525,0.12059051309203826,0.12471319316812098
flow,efferent | intrinsic,4,400-500,450.0,93094,9544,24206.0,24206.0,0.10252003351451221,0.10058785445027354,0.10448501589648646
flow,efferent | intrinsic,5,500-600,550.0,87527,7591,18032.0,18032.0,0.08672752407828442,0.08488110902270814,0.08861021497708306
flow,efferent | intrinsic,6,600-700,650.0,86762,6402,14559.0,14559.0,0.07378806389894194,0.07206731029385945,0.07554655898715955
flow,efferent | intrinsic,7,700-800,750.0,83415,5194,11647.0,11647.0,0.06226697836120602,0.06064720682962127,0.06392706680785872
flow,efferent | intrinsic,8,800-900,850.0,81735,4373,9052.0,9052.0,0.05350217165229094,0.0519802928029818,0.05506601992577603
flow,efferent | intrinsic,9,900-1000,950.0,79684,3599,7833.0,7833.0,0.04516590532603785,0.04374578450800548,0.04662987952554014
