partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
pre_neuropil,AL_R | LH_R,16,1600-1700,1650.0,1507,51,126.0,126.0,0.0338420703384207,0.025832656029180667,0.044222073732033226
pre_neuropil,AL_R | LH_R,17,1700-1800,1750.0,1440,36,79.0,79.0,0.025,0.018112055229021158,0.034415590462860836
pre_neuropil,AL_R | LH_R,18,1800-1900,1850.0,1484,37,74.0,74.0,0.024932614555256066,0.01814204010788872,0.03417643250371187
pre_neuropil,AL_R | LH_R,19,1900-2000,1950.0,1361,22,39.0,39.0,0.016164584864070537,0.01069873693023567,0.024354121950970763
pre_neuropil,AL_R | MB_CA_R,0,0-100,50.0,2011,1693,21424.0,21424.0,0.841869716558926,0.8252727344935661,0.8571630460660572
pre_neuropil,AL_R | MB_CA_R,1,100-200,150.0,213,81,217.0,217.0,0.38028169014084506,0.31775264631954214,0.4470526308966377
pre_neuropil,AL_R | MB_CA_R,3,300-400,350.0,115,30,62.0,62.0,0.2608695652173913,0.18927348744454847,0.34792560782175547
pre_neuropil,AL_R | MB_CA_R,5,500-600,550.0,92,13,29.0,29.0,0.14130434782608695,0.08447613379881469,0.22688761638899513
pre_neuropil,AL_R | MB_CA_R,7,700-800,750.0,104,12,19.0,19.0,0.11538461538461539,0.0672491122978073,0.1909221314522854
pre_neuropil,AL_R | MB_CA_R,8,800-900,850.0,101,11,17.0,17.0,0.10891089108910891,0.06191064333684265,0.1845716690277149
pre_neuropil,AL_R | MB_CA_R,11,1100-1200,1150.0,99,1,1.0,1.0,0.010101010101010102,0.0017852613200520333,0.05501665541403222
pre_neuropil,AL_R | MB_CA_R,13,1300-1400,1350.0,98,3,8.0,8.0,0.030612244897959183,0.010464701465554671,0.08617164360365084
pre_neuropil,AL_R | MB_CA_R,14,1400-1500,1450.0,96,2,3.0,3.0,0.020833333333333332,0.005731849710137293,0.07280855829614466
pre_neuropil,AL_R | MB_CA_R,15,1500-1600,1550.0,103,6,10.0,10.0,0.05825242718446602,0.026968129757982066,0.12130370443394317
pre_neuropil,AL_R | MB_CA_R,16,1600-1700,1650.0,97,3,6.0,6.0,0.030927835051546393,0.010573153364052894,0.08702149011641547
pre_neuropil,AMMC_R | AMMC_R,0,0-100,50.0,3218,1401,8114.0,8114.0,0.4353635798632691,0.41832005417203544,0.45256124551693755
pre_neuropil,AMMC_R | AMMC_R,1,100-200,150.0,844,318,1308.0,1308.0,0.3767772511848341,0.3447123965768005,0.40995875897867123
pre_neuropil,AMMC_R | AMMC_R,2,200-300,250.0,509,186,678.0,678.0,0.3654223968565815,0.32474053948778997,0.4081204452685168
pre_neuropil,AMMC_R | AMMC_R,3,300-400,350.0,464,163,449.0,449.0,0.35129310344827586,0.30923902451980245,0.39578934405622834
pre_neuropil,AMMC_R | AMMC_R,4,400-500,450.0,481,133,394.0,394.0,0.2765072765072765,0.2384255929952549,0.31813061010282917
pre_neuropil,AMMC_R | AMMC_R,6,600-700,650.0,467,120,326.0,326.0,0.2569593147751606,0.21942341133572757,0.2984611596112747
pre_neuropil,AMMC_R | AMMC_R,7,700-800,750.0,471,104,235.0,235.0,0.2208067940552017,0.18568850038778686,0.2604425883794989
pre_neuropil,AMMC_R | AMMC_R,8,800-900,850.0,489,102,260.0,260.0,0.2085889570552147,0.17491713602322884,0.24680375766756346
pre_neuropil,AMMC_R | AMMC_R,9,900-1000,950.0,440,78,207.0,207.0,0.17727272727272728,0.14442675254585774,0.2157053306117372
pre_neuropil,AMMC_R | AMMC_R,10,1000-1100,1050.0,437,64,169.0,169.0,0.14645308924485126,0.1163856494330248,0.18268231511478555
pre_neuropil,AMMC_R | AMMC_R,13,1300-1400,1350.0,429,54,141.0,141.0,0.1258741258741259,0.0977689225787513,0.1606202895487337
pre_neuropil,AMMC_R | AMMC_R,15,1500-1600,1550.0,405,28,103.0,103.0,0.0691358024691358,0.04826246445203988,0.09810620253292446
pre_neuropil,AMMC_R | AMMC_R,16,1600-1700,1650.0,421,35,103.0,103.0,0.0831353919239905,0.06038207630766618,0.11342764477426173
pre_neuropil,AMMC_R | AMMC_R,17,1700-1800,1750.0,407,31,70.0,70.0,0.07616707616707617,0.05417510667498268,0.1060851980263913
pre_neuropil,AMMC_R | AMMC_R,18,1800-1900,1850.0,442,35,89.0,89.0,0.07918552036199095,0.0574851616350697,0.10813778606653554
pre_neuropil,AMMC_R | AMMC_R,19,1900-2000,1950.0,404,37,69.0,69.0,0.09158415841584158,0.06717420599516687,0.12368812879363349
pre_neuropil,AMMC_R | LAL_R,2,200-300,250.0,84,6,7.0,7.0,0.07142857142857142,0.03314535833064436,0.14719744052547845
pre_neuropil,AMMC_R | LAL_R,5,500-600,550.0,92,2,7.0,7.0,0.021739130434782608,0.005981915837670909,0.0758364177460756
pre_neuropil,AMMC_R | LAL_R,6,600-700,650.0,83,2,2.0,2.0,0.024096385542168676,0.006633027079790216,0.08366471041007639
pre_neuropil,AMMC_R | LAL_R,7,700-800,750.0,74,2,3.0,3.0,0.02702702702702703,0.007443196562309684,0.09329471221654377
pre_neuropil,AMMC_R | LAL_R,12,1200-1300,1250.0,90,1,1.0,1.0,0.011111111111111112,0.00196403353551235,0.06028554447679775
pre_neuropil,AMMC_R | LAL_R,14,1400-1500,1450.0,75,1,1.0,1.0,0.013333333333333334,0.002357490433136912,0.07173537424743781
pre_neuropil,AOTU_L | AOTU_L,0,0-100,50.0,15376,8858,59674.0,59674.0,0.576092611862643,0.5682633888530761,0.5838838218178062
pre_neuropil,AOTU_L | AOTU_L,1,100-200,150.0,3859,1077,2356.0,2356.0,0.27908784659238145,0.26516046973041074,0.29345461818828633
pre_neuropil,AOTU_L | AOTU_L,2,200-300,250.0,2230,429,859.0,859.0,0.1923766816143498,0.17655118797893843,0.2092602321324965
pre_neuropil,AOTU_L | AOTU_L,3,300-400,350.0,1822,265,482.0,482.0,0.14544456641053788,0.13000211673004614,0.16237899672470268
pre_neuropil,AOTU_L | AOTU_L,4,400-500,450.0,1700,187,274.0,274.0,0.11,0.09599626478028521,0.1257623775723842
pre_neuropil,AOTU_L | AOTU_L,5,500-600,550.0,1470,137,212.0,212.0,0.09319727891156462,0.07937791828154807,0.10913731971960482
pre_neuropil,AOTU_L | AOTU_L,6,600-700,650.0,1524,107,180.0,180.0,0.07020997375328084,0.05843338185890381,0.08414789096414277
