partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance,direction
cell_type,LPi15 | T5b,1513,1511,673.7696307905398,36270.0,36270.0,0.998678122934567,2.24260627215734,1.164583453933621,0.5533578117709584,enriched
cell_type,CT1 | Tm9,1522,1514,675.7570362141264,68986.0,68986.0,0.9947437582128777,2.2404502193303992,1.1631979732739233,0.5507509617515596,enriched
cell_type,Li33 | Tm5f,801,770,343.5490868818828,3128.0,3128.0,0.9612983770287141,2.241309988591928,1.1631805419611714,0.532398143717999,enriched
cell_type,LT1b | T2a,1772,1750,781.2431795389352,32530.0,32530.0,0.9875846501128668,2.2400195557966907,1.1630004295047804,0.5467024946168537,enriched
cell_type,Li28 | TmY9q__perp,749,724,323.36030733859934,8767.0,8767.0,0.9666221628838452,2.2389884706593874,1.1616140290427825,0.5348994561567432,enriched
cell_type,DPM | KCg-m,2188,2188,978.659769188313,30260.0,30260.0,1.0,2.235710579801086,1.1603261957365953,0.5527149135336777,enriched
cell_type,AVLP479 | LC17,552,552,246.74126281536232,8845.0,8845.0,1.0,2.2371612826390708,1.1600549255850798,0.5530049586678218,enriched
cell_type,DPM | KCab,1643,1643,735.0501870236907,24705.0,24705.0,1.0,2.2352215250127485,1.159875770532433,0.5526170498942844,enriched
cell_type,CT1 | T5b,1514,1514,677.3377864600534,36785.0,36785.0,1.0,2.2352215250127485,1.1598296100862635,0.5526170498942844,enriched
cell_type,APL | KCg-m,2202,2189,979.5166049686023,83387.0,83387.0,0.9940962761126249,2.2347757954242815,1.1597233508552782,0.5492658469715703,enriched
cell_type,Lawf2 | Tm9,6827,21,838.9316242380219,22.0,22.0,0.0030760216786289733,0.025031837390888337,-5.287004250538464,-0.11980835275201726,depleted
cell_type,KCapbp-m | KCg-m,71290,257,6368.606400983794,289.0,289.0,0.0036049936877542432,0.0403541974206947,-4.628446636124402,-0.08572880349254866,depleted
cell_type,Dm3q | T1,8134,20,505.05162075227906,21.0,21.0,0.0024588148512417014,0.039599912520248554,-4.624162595190082,-0.059632606436228065,depleted
cell_type,KCab | KCapbp-ap1,30706,84,2081.9540454113253,87.0,87.0,0.002735621702598841,0.040346711871541034,-4.62318950762561,-0.06506721961217109,depleted
cell_type,Dm3q | TmY3,7588,20,504.56739557282066,27.0,27.0,0.002635740643120717,0.03963791591665288,-4.622780097320455,-0.06385969894212186,depleted
cell_type,Dm3p | TmY3,7464,21,508.31773905751794,24.0,24.0,0.0028135048231511255,0.04131274277174847,-4.564740403659114,-0.06528908615454421,depleted
cell_type,T1 | Tm21,10399,52,1233.6012098593196,59.0,59.0,0.005000480815463025,0.042153006647853486,-4.554999483180661,-0.11362642656595054,depleted
cell_type,L5 | TmY4,4164,20,475.20409460069715,21.0,21.0,0.004803073967339097,0.042087179439826865,-4.536368628440394,-0.10931894683013861,depleted
cell_type,Dm2 | Dm3v,8970,34,751.5354157466777,35.0,35.0,0.00379041248606466,0.04524071559052179,-4.446132337610891,-0.07999279997175894,depleted
