partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
nt,dopamine | gaba,8,800-900,850.0,14187,744,1077.0,1077.0,0.052442376823852825,0.048893815976355705,0.05623325414751911
nt,dopamine | gaba,9,900-1000,950.0,13974,607,842.0,842.0,0.04343781308143695,0.04018166471275581,0.04694491998112137
nt,dopamine | gaba,10,1000-1100,1050.0,13533,473,684.0,684.0,0.03495159979309835,0.031986867324877544,0.03818028303905964
nt,dopamine | gaba,11,1100-1200,1150.0,13575,432,571.0,571.0,0.031823204419889506,0.029000295210336126,0.03491101810817258
nt,dopamine | gaba,12,1200-1300,1250.0,13322,319,413.0,413.0,0.02394535355051794,0.0214832544796296,0.026681928573424253
nt,dopamine | gaba,13,1300-1400,1350.0,13274,279,377.0,377.0,0.021018532469489228,0.018713232008691155,0.023600994725268373
nt,dopamine | gaba,14,1400-1500,1450.0,13448,233,325.0,325.0,0.017325996430696013,0.015254482013870915,0.019673196587399553
nt,dopamine | gaba,15,1500-1600,1550.0,13410,187,245.0,245.0,0.013944817300521998,0.012094709402606131,0.016073328603746946
nt,dopamine | gaba,16,1600-1700,1650.0,13703,171,216.0,216.0,0.012479019192877472,0.01075219046304033,0.014479121759900949
nt,dopamine | gaba,17,1700-1800,1750.0,13757,133,176.0,176.0,0.009667805480846114,0.008164082582998026,0.01144529944782195
nt,dopamine | gaba,18,1800-1900,1850.0,14093,111,148.0,148.0,0.007876250620875613,0.00654493471979996,0.009475788674013308
nt,dopamine | gaba,19,1900-2000,1950.0,14447,118,161.0,161.0,0.008167785699453175,0.0068252119557360505,0.009771855996347795
nt,dopamine | glutamate,0,0-100,50.0,117862,51129,236640.0,236640.0,0.4338039402012523,0.4309767105291369,0.43663548492817705
nt,dopamine | glutamate,1,100-200,150.0,45300,8593,15027.0,15027.0,0.18969094922737306,0.1861069169969751,0.19332760760192777
nt,dopamine | glutamate,2,200-300,250.0,29754,3986,6556.0,6556.0,0.133965181152114,0.1301420744700044,0.13788279464550293
nt,dopamine | glutamate,3,300-400,350.0,27184,2936,4388.0,4388.0,0.10800470865214833,0.10437014882497309,0.11175004513702205
nt,dopamine | glutamate,4,400-500,450.0,26946,2322,3351.0,3351.0,0.08617234468937876,0.08288043502594825,0.08958223354869752
nt,dopamine | glutamate,5,500-600,550.0,25235,1661,2373.0,2373.0,0.065821279968298,0.06282737054653428,0.0689473619356411
nt,dopamine | glutamate,6,600-700,650.0,25376,1407,1855.0,1855.0,0.05544609079445145,0.052697044435333684,0.05832971626753847
nt,dopamine | glutamate,7,700-800,750.0,24971,1073,1461.0,1461.0,0.04296984502022346,0.04052409643896947,0.04555619325544044
nt,dopamine | glutamate,8,800-900,850.0,24358,864,1137.0,1137.0,0.035470892519911326,0.03322028031125425,0.03786800720145991
nt,dopamine | glutamate,9,900-1000,950.0,24411,693,903.0,903.0,0.02838884109622711,0.026378439023031056,0.030547656291058548
nt,dopamine | glutamate,10,1000-1100,1050.0,23816,565,706.0,706.0,0.023723547195162915,0.0218661410441724,0.02573457851728765
nt,dopamine | glutamate,11,1100-1200,1150.0,24063,466,597.0,597.0,0.019365831359348377,0.017699784197067872,0.021185318200414978
nt,dopamine | glutamate,12,1200-1300,1250.0,24131,361,455.0,455.0,0.014960009945712983,0.01350373592425676,0.016570693899223003
nt,dopamine | glutamate,13,1300-1400,1350.0,24369,334,437.0,437.0,0.013705937871886413,0.012320885747833993,0.01524428744887689
nt,dopamine | glutamate,14,1400-1500,1450.0,24793,275,327.0,327.0,0.011091840438833541,0.009861804948320643,0.012473362123924556
nt,dopamine | glutamate,15,1500-1600,1550.0,24550,222,294.0,294.0,0.009042769857433809,0.007933031954075192,0.010306134335895502
nt,dopamine | glutamate,16,1600-1700,1650.0,25572,214,260.0,260.0,0.008368528077584859,0.007323479825867653,0.009561266598273482
nt,dopamine | glutamate,17,1700-1800,1750.0,25749,197,248.0,248.0,0.007650782554662317,0.006657482590516763,0.008790971843342682
nt,dopamine | glutamate,18,1800-1900,1850.0,26658,132,152.0,152.0,0.00495160927301373,0.004177354396640739,0.005868523304470501
nt,dopamine | glutamate,19,1900-2000,1950.0,27282,128,143.0,143.0,0.004691738142364929,0.003947643753549165,0.005575302388599516
nt,dopamine | octopamine,0,0-100,50.0,2410,937,2519.0,2519.0,0.3887966804979253,0.36952571069325096,0.4084216078051957
nt,dopamine | octopamine,1,100-200,150.0,988,202,273.0,273.0,0.20445344129554655,0.1804725705579344,0.23072373336801508
nt,dopamine | octopamine,2,200-300,250.0,704,93,112.0,112.0,0.13210227272727273,0.10907449430259143,0.15912336239303093
nt,dopamine | octopamine,3,300-400,350.0,659,76,97.0,97.0,0.11532625189681335,0.09313687686347978,0.14197449816186564
nt,dopamine | octopamine,4,400-500,450.0,671,68,78.0,78.0,0.10134128166915052,0.08072877430498937,0.1264925943836036
nt,dopamine | octopamine,5,500-600,550.0,726,60,68.0,68.0,0.08264462809917356,0.06474456579997956,0.10493828045049453
nt,dopamine | octopamine,7,700-800,750.0,757,63,75.0,75.0,0.083223249669749,0.06558771424925408,0.10506751806191292
nt,dopamine | octopamine,8,800-900,850.0,716,39,45.0,45.0,0.05446927374301676,0.04009859017223383,0.07359531137499545
nt,dopamine | octopamine,9,900-1000,950.0,807,50,52.0,52.0,0.061957868649318466,0.047310083959914956,0.0807563595970017
nt,dopamine | octopamine,10,1000-1100,1050.0,737,30,32.0,32.0,0.0407055630936228,0.02865956342304956,0.05751486306703955
nt,dopamine | octopamine,11,1100-1200,1150.0,757,27,33.0,33.0,0.035667107001321,0.024626458212225137,0.05139672453698311
nt,dopamine | octopamine,12,1200-1300,1250.0,831,33,43.0,43.0,0.039711191335740074,0.02841417689323754,0.055244327905756674
nt,dopamine | octopamine,13,1300-1400,1350.0,764,30,31.0,31.0,0.03926701570680628,0.027641696138909336,0.055502535692239174
nt,dopamine | octopamine,14,1400-1500,1450.0,792,24,27.0,27.0,0.030303030303030304,0.020446628755859567,0.0446939720873233
nt,dopamine | octopamine,15,1500-1600,1550.0,785,26,28.0,28.0,0.033121019108280254,0.022701216587479194,0.04808815354715875
nt,dopamine | octopamine,16,1600-1700,1650.0,732,20,22.0,22.0,0.0273224043715847,0.017755406729249072,0.04182480727332974
nt,dopamine | octopamine,17,1700-1800,1750.0,758,13,14.0,14.0,0.017150395778364115,0.010049653883265175,0.029120693338519507
nt,dopamine | octopamine,18,1800-1900,1850.0,677,18,18.0,18.0,0.026587887740029542,0.01688302379952407,0.04163513960294722
nt,dopamine | octopamine,19,1900-2000,1950.0,737,16,17.0,17.0,0.021709633649932156,0.013406395578238686,0.034973177059151
nt,dopamine | serotonin,0,0-100,50.0,5509,2235,26901.0,26901.0,0.4056997640225086,0.3928032616364695,0.4187276918376881
nt,dopamine | serotonin,1,100-200,150.0,1911,323,520.0,520.0,0.16902145473574046,0.15288602467259735,0.1864849185949816
